text;label
Pasien kritis butuh pengawalan ambulans darurat di Purworejo!;1
Cuaca di wilayah Kendal mendung, pengendara dihimbau hati-hati.;0
Warga diserang komplotan begal bersenjata di Pati!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Brebes.;0
Tawuran massal pecah di depan sekolah Jepara, situasi darurat!;1
Petugas melakukan patroli rutin di lingkungan warga Grobogan.;0
Tanah longsor menutup jalur utama Banjarnegara, banyak kendaraan terjebak!;1
Info jadwal perpanjangan SIM di Polres Purwokerto.;0
Tolong ada kecelakaan maut di KM Demak tol!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Demak.;0
Tolong ada kecelakaan maut di KM Sukoharjo tol!;1
Kondisi pos keamanan di perbatasan Purbalingga tetap terjaga.;0
Ada aksi perampokan bank di pusat kota Blora, segera kirim bantuan!;1
Apa saja syarat mengurus SKCK di Polres Sukoharjo?;0
Warga diserang komplotan begal bersenjata di Wonogiri!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Temanggung.;0
Tolong ada kecelakaan maut di KM Salatiga tol!;1
Apa saja syarat mengurus SKCK di Polres Rembang?;0
Warga diserang komplotan begal bersenjata di Salatiga!;1
Info jadwal perpanjangan SIM di Polres Purbalingga.;0
Tawuran massal pecah di depan sekolah Pekalongan, situasi darurat!;1
Lalu lintas di jalur Pati pagi ini terpantau lancar.;0
Kebakaran hebat sedang berlangsung di pasar Salatiga, butuh bantuan!;1
Apa saja syarat mengurus SKCK di Polres Sragen?;0
Tawuran massal pecah di depan sekolah Sukoharjo, situasi darurat!;1
Apa saja syarat mengurus SKCK di Polres Sragen?;0
Warga diserang komplotan begal bersenjata di Solo!;1
Warga sedang mengadakan acara syukuran di balai desa Cilacap.;0
Banjir bandang menerjang perumahan Salatiga, evakuasi mendesak!;1
Warga sedang mengadakan acara syukuran di balai desa Pati.;0
Kebakaran hebat sedang berlangsung di pasar Purworejo, butuh bantuan!;1
Petugas melakukan patroli rutin di lingkungan warga Kendal.;0
Banjir bandang menerjang perumahan Demak, evakuasi mendesak!;1
Info jadwal perpanjangan SIM di Polres Kendal.;0
Pasien kritis butuh pengawalan ambulans darurat di Pati!;1
Apa saja syarat mengurus SKCK di Polres Sukoharjo?;0
Kebakaran hebat sedang berlangsung di pasar Pati, butuh bantuan!;1
Info jadwal perpanjangan SIM di Polres Kudus.;0
Kebakaran hebat sedang berlangsung di pasar Demak, butuh bantuan!;1
Kondisi pos keamanan di perbatasan Brebes tetap terjaga.;0
Warga diserang komplotan begal bersenjata di Kendal!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Wonosobo.;0
Banjir bandang menerjang perumahan Demak, evakuasi mendesak!;1
Warga sedang mengadakan acara syukuran di balai desa Purbalingga.;0
Ditemukan bom di area publik Purwokerto, mohon segera sterilisasi!;1
Apa saja syarat mengurus SKCK di Polres Kebumen?;0
Tolong ada kecelakaan maut di KM Demak tol!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Sragen.;0
Tanah longsor menutup jalur utama Banyumas, banyak kendaraan terjebak!;1
Petugas melakukan patroli rutin di lingkungan warga Sukoharjo.;0
Tolong ada kecelakaan maut di KM Kendal tol!;1
Petugas melakukan patroli rutin di lingkungan warga Rembang.;0
Tawuran massal pecah di depan sekolah Magelang, situasi darurat!;1
Info jadwal perpanjangan SIM di Polres Salatiga.;0
Ada korban penembakan di jalan Blora, pelaku kabur!;1
Warga sedang mengadakan acara syukuran di balai desa Batang.;0
Ditemukan bom di area publik Rembang, mohon segera sterilisasi!;1
Bagaimana cara membuat laporan kehilangan di Polsek Sukoharjo?;0
Ditemukan bom di area publik Sragen, mohon segera sterilisasi!;1
Lalu lintas di jalur Sukoharjo pagi ini terpantau lancar.;0
Tolong ada kecelakaan maut di KM Banyumas tol!;1
Warga sedang mengadakan acara syukuran di balai desa Kendal.;0
Ada aksi perampokan bank di pusat kota Banyumas, segera kirim bantuan!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Ungaran.;0
Banjir bandang menerjang perumahan Kudus, evakuasi mendesak!;1
Lalu lintas di jalur Klaten pagi ini terpantau lancar.;0
Banjir bandang menerjang perumahan Banjarnegara, evakuasi mendesak!;1
Petugas melakukan patroli rutin di lingkungan warga Solo.;0
Ada korban penembakan di jalan Surakarta, pelaku kabur!;1
Apa saja syarat mengurus SKCK di Polres Solo?;0
Warga diserang komplotan begal bersenjata di Blora!;1
Info jadwal perpanjangan SIM di Polres Karanganyar.;0
Banjir bandang menerjang perumahan Kudus, evakuasi mendesak!;1
Bagaimana cara membuat laporan kehilangan di Polsek Demak?;0
Warga diserang komplotan begal bersenjata di Sragen!;1
Cuaca di wilayah Wonosobo mendung, pengendara dihimbau hati-hati.;0
Tanah longsor menutup jalur utama Purworejo, banyak kendaraan terjebak!;1
Petugas melakukan patroli rutin di lingkungan warga Kebumen.;0
Ditemukan bom di area publik Boyolali, mohon segera sterilisasi!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Kudus.;0
Tawuran massal pecah di depan sekolah Grobogan, situasi darurat!;1
Bagaimana cara membuat laporan kehilangan di Polsek Salatiga?;0
Ditemukan bom di area publik Banyumas, mohon segera sterilisasi!;1
Cuaca di wilayah Rembang mendung, pengendara dihimbau hati-hati.;0
Ada korban penembakan di jalan Solo, pelaku kabur!;1
Apa saja syarat mengurus SKCK di Polres Jepara?;0
Pasien kritis butuh pengawalan ambulans darurat di Blora!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Tegal.;0
Warga diserang komplotan begal bersenjata di Sragen!;1
Bagaimana cara membuat laporan kehilangan di Polsek Rembang?;0
Ada aksi perampokan bank di pusat kota Salatiga, segera kirim bantuan!;1
Apa saja syarat mengurus SKCK di Polres Kudus?;0
Tolong ada kecelakaan maut di KM Ungaran tol!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Kebumen.;0
Tolong ada kecelakaan maut di KM Boyolali tol!;1
Apa saja syarat mengurus SKCK di Polres Banjarnegara?;0
Tawuran massal pecah di depan sekolah Banjarnegara, situasi darurat!;1
Petugas melakukan patroli rutin di lingkungan warga Semarang.;0
Pasien kritis butuh pengawalan ambulans darurat di Sukoharjo!;1
Info jadwal perpanjangan SIM di Polres Banyumas.;0
Banjir bandang menerjang perumahan Purbalingga, evakuasi mendesak!;1
Bagaimana cara membuat laporan kehilangan di Polsek Wonosobo?;0
Tanah longsor menutup jalur utama Boyolali, banyak kendaraan terjebak!;1
Cuaca di wilayah Surakarta mendung, pengendara dihimbau hati-hati.;0
Ada aksi perampokan bank di pusat kota Tegal, segera kirim bantuan!;1
Bagaimana cara membuat laporan kehilangan di Polsek Solo?;0
Pasien kritis butuh pengawalan ambulans darurat di Boyolali!;1
Cuaca di wilayah Rembang mendung, pengendara dihimbau hati-hati.;0
Tanah longsor menutup jalur utama Banyumas, banyak kendaraan terjebak!;1
Lalu lintas di jalur Sukoharjo pagi ini terpantau lancar.;0
Kebakaran hebat sedang berlangsung di pasar Cilacap, butuh bantuan!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Grobogan.;0
Pasien kritis butuh pengawalan ambulans darurat di Wonogiri!;1
Cuaca di wilayah Solo mendung, pengendara dihimbau hati-hati.;0
Tawuran massal pecah di depan sekolah Purbalingga, situasi darurat!;1
Apa saja syarat mengurus SKCK di Polres Surakarta?;0
Ditemukan bom di area publik Wonogiri, mohon segera sterilisasi!;1
Petugas melakukan patroli rutin di lingkungan warga Jepara.;0
Ada aksi perampokan bank di pusat kota Boyolali, segera kirim bantuan!;1
Bagaimana cara membuat laporan kehilangan di Polsek Rembang?;0
Tolong ada kecelakaan maut di KM Grobogan tol!;1
Kondisi pos keamanan di perbatasan Sragen tetap terjaga.;0
Pasien kritis butuh pengawalan ambulans darurat di Purbalingga!;1
Lalu lintas di jalur Ungaran pagi ini terpantau lancar.;0
Pasien kritis butuh pengawalan ambulans darurat di Brebes!;1
Kondisi pos keamanan di perbatasan Cilacap tetap terjaga.;0
Tanah longsor menutup jalur utama Boyolali, banyak kendaraan terjebak!;1
Info jadwal perpanjangan SIM di Polres Semarang.;0
Pasien kritis butuh pengawalan ambulans darurat di Sragen!;1
Petugas melakukan patroli rutin di lingkungan warga Sukoharjo.;0
Ditemukan bom di area publik Kudus, mohon segera sterilisasi!;1
Petugas melakukan patroli rutin di lingkungan warga Cilacap.;0
Warga diserang komplotan begal bersenjata di Wonosobo!;1
Warga sedang mengadakan acara syukuran di balai desa Purworejo.;0
Ada korban penembakan di jalan Solo, pelaku kabur!;1
Lalu lintas di jalur Grobogan pagi ini terpantau lancar.;0
Banjir bandang menerjang perumahan Kendal, evakuasi mendesak!;1
Kondisi pos keamanan di perbatasan Ungaran tetap terjaga.;0
Tawuran massal pecah di depan sekolah Surakarta, situasi darurat!;1
Info jadwal perpanjangan SIM di Polres Boyolali.;0
Ada aksi perampokan bank di pusat kota Surakarta, segera kirim bantuan!;1
Apa saja syarat mengurus SKCK di Polres Kebumen?;0
Tanah longsor menutup jalur utama Purbalingga, banyak kendaraan terjebak!;1
Bagaimana cara membuat laporan kehilangan di Polsek Solo?;0
Tanah longsor menutup jalur utama Jepara, banyak kendaraan terjebak!;1
Warga sedang mengadakan acara syukuran di balai desa Wonosobo.;0
Ditemukan bom di area publik Wonogiri, mohon segera sterilisasi!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Salatiga.;0
Ada korban penembakan di jalan Blora, pelaku kabur!;1
Kondisi pos keamanan di perbatasan Banyumas tetap terjaga.;0
Tanah longsor menutup jalur utama Temanggung, banyak kendaraan terjebak!;1
Lalu lintas di jalur Wonogiri pagi ini terpantau lancar.;0
Tawuran massal pecah di depan sekolah Tegal, situasi darurat!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Brebes.;0
Ditemukan bom di area publik Boyolali, mohon segera sterilisasi!;1
Warga sedang mengadakan acara syukuran di balai desa Salatiga.;0
Pasien kritis butuh pengawalan ambulans darurat di Pekalongan!;1
Info jadwal perpanjangan SIM di Polres Ungaran.;0
Ada aksi perampokan bank di pusat kota Kendal, segera kirim bantuan!;1
Apa saja syarat mengurus SKCK di Polres Wonogiri?;0
Ada aksi perampokan bank di pusat kota Klaten, segera kirim bantuan!;1
Bagaimana cara membuat laporan kehilangan di Polsek Pati?;0
Kebakaran hebat sedang berlangsung di pasar Surakarta, butuh bantuan!;1
Lalu lintas di jalur Salatiga pagi ini terpantau lancar.;0
Ada korban penembakan di jalan Pekalongan, pelaku kabur!;1
Lalu lintas di jalur Batang pagi ini terpantau lancar.;0
Warga diserang komplotan begal bersenjata di Kendal!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Semarang.;0
Banjir bandang menerjang perumahan Pekalongan, evakuasi mendesak!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Wonosobo.;0
Pasien kritis butuh pengawalan ambulans darurat di Demak!;1
Info jadwal perpanjangan SIM di Polres Jepara.;0
Ada aksi perampokan bank di pusat kota Solo, segera kirim bantuan!;1
Info jadwal perpanjangan SIM di Polres Purwokerto.;0
Tanah longsor menutup jalur utama Pemalang, banyak kendaraan terjebak!;1
Kondisi pos keamanan di perbatasan Semarang tetap terjaga.;0
Kebakaran hebat sedang berlangsung di pasar Banjarnegara, butuh bantuan!;1
Lalu lintas di jalur Jepara pagi ini terpantau lancar.;0
Kebakaran hebat sedang berlangsung di pasar Blora, butuh bantuan!;1
Cuaca di wilayah Salatiga mendung, pengendara dihimbau hati-hati.;0
Ada aksi perampokan bank di pusat kota Karanganyar, segera kirim bantuan!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Pati.;0
Tolong ada kecelakaan maut di KM Kendal tol!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Pekalongan.;0
Warga diserang komplotan begal bersenjata di Jepara!;1
Lalu lintas di jalur Klaten pagi ini terpantau lancar.;0
Ditemukan bom di area publik Sukoharjo, mohon segera sterilisasi!;1
Info jadwal perpanjangan SIM di Polres Wonosobo.;0
Tolong ada kecelakaan maut di KM Semarang tol!;1
Lalu lintas di jalur Magelang pagi ini terpantau lancar.;0
Tawuran massal pecah di depan sekolah Magelang, situasi darurat!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Salatiga.;0
Pasien kritis butuh pengawalan ambulans darurat di Surakarta!;1
Apa saja syarat mengurus SKCK di Polres Sukoharjo?;0
Ditemukan bom di area publik Brebes, mohon segera sterilisasi!;1
Info jadwal perpanjangan SIM di Polres Cilacap.;0
Pasien kritis butuh pengawalan ambulans darurat di Kebumen!;1
Warga sedang mengadakan acara syukuran di balai desa Wonogiri.;0
Ada aksi perampokan bank di pusat kota Brebes, segera kirim bantuan!;1
Cuaca di wilayah Blora mendung, pengendara dihimbau hati-hati.;0
Ada aksi perampokan bank di pusat kota Wonogiri, segera kirim bantuan!;1
Warga sedang mengadakan acara syukuran di balai desa Boyolali.;0
Pasien kritis butuh pengawalan ambulans darurat di Tegal!;1
Cuaca di wilayah Jepara mendung, pengendara dihimbau hati-hati.;0
Ada aksi perampokan bank di pusat kota Jepara, segera kirim bantuan!;1
Lalu lintas di jalur Batang pagi ini terpantau lancar.;0
Tawuran massal pecah di depan sekolah Salatiga, situasi darurat!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Wonogiri.;0
Banjir bandang menerjang perumahan Semarang, evakuasi mendesak!;1
Bagaimana cara membuat laporan kehilangan di Polsek Kudus?;0
Pasien kritis butuh pengawalan ambulans darurat di Kebumen!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Pemalang.;0
Kebakaran hebat sedang berlangsung di pasar Ungaran, butuh bantuan!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Banyumas.;0
Tanah longsor menutup jalur utama Purwokerto, banyak kendaraan terjebak!;1
Apa saja syarat mengurus SKCK di Polres Wonogiri?;0
Tawuran massal pecah di depan sekolah Purwokerto, situasi darurat!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Kendal.;0
Tawuran massal pecah di depan sekolah Jepara, situasi darurat!;1
Lalu lintas di jalur Kebumen pagi ini terpantau lancar.;0
Ada aksi perampokan bank di pusat kota Rembang, segera kirim bantuan!;1
Warga sedang mengadakan acara syukuran di balai desa Solo.;0
Ditemukan bom di area publik Brebes, mohon segera sterilisasi!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Jepara.;0
Tolong ada kecelakaan maut di KM Sukoharjo tol!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Solo.;0
Tawuran massal pecah di depan sekolah Sragen, situasi darurat!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Brebes.;0
Ada aksi perampokan bank di pusat kota Wonosobo, segera kirim bantuan!;1
Info jadwal perpanjangan SIM di Polres Salatiga.;0
Ditemukan bom di area publik Pemalang, mohon segera sterilisasi!;1
Lalu lintas di jalur Ungaran pagi ini terpantau lancar.;0
Ditemukan bom di area publik Brebes, mohon segera sterilisasi!;1
Bagaimana cara membuat laporan kehilangan di Polsek Solo?;0
Banjir bandang menerjang perumahan Karanganyar, evakuasi mendesak!;1
Cuaca di wilayah Tegal mendung, pengendara dihimbau hati-hati.;0
Warga diserang komplotan begal bersenjata di Sukoharjo!;1
Bagaimana cara membuat laporan kehilangan di Polsek Boyolali?;0
Warga diserang komplotan begal bersenjata di Pemalang!;1
Kondisi pos keamanan di perbatasan Banyumas tetap terjaga.;0
Pasien kritis butuh pengawalan ambulans darurat di Karanganyar!;1
Bagaimana cara membuat laporan kehilangan di Polsek Kebumen?;0
Warga diserang komplotan begal bersenjata di Pati!;1
Bagaimana cara membuat laporan kehilangan di Polsek Salatiga?;0
Ada korban penembakan di jalan Demak, pelaku kabur!;1
Apa saja syarat mengurus SKCK di Polres Tegal?;0
Kebakaran hebat sedang berlangsung di pasar Purbalingga, butuh bantuan!;1
Bagaimana cara membuat laporan kehilangan di Polsek Blora?;0
Kebakaran hebat sedang berlangsung di pasar Wonogiri, butuh bantuan!;1
Bagaimana cara membuat laporan kehilangan di Polsek Ungaran?;0
Tawuran massal pecah di depan sekolah Semarang, situasi darurat!;1
Lalu lintas di jalur Sukoharjo pagi ini terpantau lancar.;0
Ada aksi perampokan bank di pusat kota Purbalingga, segera kirim bantuan!;1
Warga sedang mengadakan acara syukuran di balai desa Salatiga.;0
Kebakaran hebat sedang berlangsung di pasar Pekalongan, butuh bantuan!;1
Cuaca di wilayah Boyolali mendung, pengendara dihimbau hati-hati.;0
Tanah longsor menutup jalur utama Purbalingga, banyak kendaraan terjebak!;1
Kondisi pos keamanan di perbatasan Blora tetap terjaga.;0
Tawuran massal pecah di depan sekolah Banyumas, situasi darurat!;1
Info jadwal perpanjangan SIM di Polres Pemalang.;0
